value,word,party
112,Rahmen,Linke
57,Rahmen,Grüne
70,Rahmen,FDP
33,Rahmen,AfD
17,Familie,CDU
29,Familie,SPD
74,Familie,Linke
38,Familie,Grüne
54,Familie,FDP
2,Familie,AfD
56,Kommune,CDU
14,Kommune,SPD
16,Kommune,Linke
11,Kommune,Grüne
113,Kommune,FDP
46,Kommune,AfD
14,Gesellschaft,CDU
4,Gesellschaft,SPD
11,Gesellschaft,Linke
6,Gesellschaft,Grüne
34,Gesellschaft,FDP
16,Gesellschaft,AfD
0,Deutschland,CDU
1,Deutschland,SPD
9,Deutschland,Linke
2,Deutschland,Grüne
1,Deutschland,FDP
1,Deutschland,AfD
38,EU,CDU
21,EU,SPD
36,EU,Linke
10,EU,Grüne
5,EU,FDP
8,EU,AfD
27,Schutz,CDU
60,Schutz,SPD
59,Schutz,Linke
12,Schutz,Grüne
18,Schutz,FDP
30,Schutz,AfD
2,Europa,CDU
0,Europa,SPD
65,Europa,Linke
12,Europa,Grüne
9,Europa,FDP
10,Europa,AfD
11,Zusammenarbeit,CDU
42,Zusammenarbeit,SPD
259,Zusammenarbeit,Linke
29,Zusammenarbeit,Grüne
83,Zusammenarbeit,FDP
387,Zusammenarbeit,AfD
